"ASIN","title","order","category","brand","price","global_rating_count","description","Special_Feature","total_star_mean","detail_dict","best_sellers_rank_Feature","Ingredients","is_bundle"
B0D4QTQZBT,"I'm from Rice Whip Facial Cleanser Set, 3 pcs Gift, Travel Kit with Rice Face Wash 5.07 fl oz & 1.01 fl oz & Rice Toner 1.01 fl oz, low-pH Rice Water Face Wash for sensitive, dry skin",16,Skin Care Products,I'm from,36.0,"42","{""description"": ""Rice Whip Facial Cleanser Set consists of 3 items. (1 unit of Rice Whip Facial Cleanser 5.07 fl oz, 1 unit of 1.01 fl oz travel sized and 1 unit of 1.01 fl oz I’m from Rice Toner.) Experience the power of rice water with Rice face wash and Rice toner and get a glowing, radiant skin everywhere.\nDEEP CLEANSING & MOISTURIZING: Efficiently removes 99.19% of impurities from pores and cleanses pores and makeup while Korean rice extracts, hyaluronic acid, panthenol, and allantoin keep skin hydrated and glowing.\nLOW-PH FORMULA FOR GENTLE CLEANSING: Helps balance skin barrier and minimize irritation for soothing and hydrating cleansing\nDAILY SKIN EXFOLIATING CARE: Smooths rough skin texture and rice bran extract to gently exfoliate and soften the skin.\nSOFT AND CREAMY TEXTURE: Similar to whipped cream, it instantly creates a rich and dense bubble foam for deep cleansing.\nSAFE TO USE ON SENSITIVE SKIN: Irritant-free facial cleanser with 0% irritation (Clinically tested!)""}",No special feature,4.7,"{""ASIN"": ""B0D4QTQZBT"", ""Manufacturer"": ""ABio materials Co., Ltd"", ""Country of Origin"": ""Korea, Republic of"", ""Package Dimensions"": ""7.05 x 3.94 x 2.32 inches; 10.23 ounces""}","#131,429 in Beauty & Personal Care (See Top 100 in Beauty & Personal Care)
#383 in Skin Care Sets & Kits","1. Wet face with water, 2. Apply a small amount of cleanser to your hands, 3. Gently massage the cleanser onto your face, 4. Rinse off with water, and 5. Pat dry with a towel.",0
B0D53T9CQY,"I'm from Rice Mask 3.88 Oz + Rice Toner 1.01 Fl Oz, Korean Rice Exfoliate and Glow Set, Smooth and Glowing skin, Wash off mask for dry sensitive skin",29,Skin Care Products,I'm from,,"6","{""description"": ""EXFOLIATE WITH RICE MASK: REMOVING AND EXFOLIATING DEAD SKIN CELLS: Rice brand and powder give glowy and vitalized skin tone by removing dead skin cells gently and provide a better complexion\nPORE CARE FOR SMOOTH SKIN: Vitamin B1, B2, and other mineral ingredients give elasticity and tighten loose skin and enlarged pores like washing the face with rice water.\nGLOW WITH RICE TONER - Contains 77.78% Goami rice extract and a blend of four vegetable-originated extracts. Soothes flaky dead skin cells by forming a moisture protective layer, while Sirtuin from rice protects against sun damage and relieves skin stress.\nDOUBLE-LAYER MOISTURIZATION: Shake well to mix the water and emulsion layers. The milky texture ensures deeper moisturization and nourishment, offering elasticity care with 77.78% rice extract. Suitable for all skin types, including oily, sensitive, dry, and combination skin.\nPURE & POTENT GOAMI RICE: Sourced from Yeoju, Korea, Goami rice is rich in hemicellulose and cultivated in a clean environment with abundant water and fertile soil.""}",No special feature,3.9,"{""ASIN"": ""B0D53T9CQY"", ""Manufacturer"": ""I'm from""}",No result,,0
B0D5R2BC79,"I'm from Rice Cream 1.69 oz + Rice Toner 1.01 fl oz Set, Korean Rice skincare for glowing, smooth, dry, combination skin",32,Skin Care Products,I'm from,,"7","{""description"": ""Rice Cream - 🛡️PROTECT SKIN WITH CERAMIDE MOISTURIZER - Rice bran that protects rice grain with ceramide over the large daily temperature range of Yeoju will protect our skin barrier by forming a ceramide barrier. It contains 41% rice bran essence which is from an organic farm in Yeoju, Korea.\nRice Cream - 💧RICE BRAN OIL ORIGINATED CERAMIDE - contains various natural fatty acid, which has excellent skin barrier improvement ability and moisturizing effect.\nRice Toner - 🌾 NOURISHING RICE EXTRACT FORMULA: Contains 77.78% Goami rice extract and a blend of four vegetable-originated extracts. Soothes flaky dead skin cells by forming a moisture protective layer, while Sirtuin from rice protects against sun damage and relieves skin stress.\nRice Toner - 💛 DOUBLE-LAYER MOISTURIZATION: Shake well to mix the water and emulsion layers. The milky texture ensures deeper moisturization and nourishment, offering elasticity care with 77.78% rice extract. Suitable for all skin types, including oily, sensitive, dry, and combination skin.\nRice Toner - 💪 PROTECTIVE BARRIER & LUSTER: Forms a protective barrier, preventing water loss and eliminating dead skin cells. Provides luster and moisturization, rejuvenating dry and tired skin for a revitalized look.""}",No special feature,4.5,"{""ASIN"": ""B0D5R2BC79""}",No result,,0
B0D5R37CFD,"I'm from Rice Serum + Rice Toner Miniature Set, Korean Rice extract for glowing, radiant skin",33,Skin Care Products,I'm from,,"12","{""description"": ""REVITALIZE YOUR SKIN WITH RADIANCE with Rice Serum! Infused with gamma-orizanol from rice buds and niacinamide, our serum brings vitality to dull skin, leaving it clean and refreshed.\nDEEP MOISTURIZATION FOR LASTING HYDRATION! Packed with rice bud extract and hyaluronic acid, this serum captures moisture from deep within, providing your skin with a hydrating and nourishing boost.\nLIGHTWEIGHT AND REFRESHING! Experience an immediate melt into your skin with our serum's light and refreshing texture, leaving behind a moist finish for a revitalized complexion.\nNOURISHING RICE EXTRACT FORMULA of Rice Toner : Contains 77.78% Goami rice extract and a blend of four vegetable-originated extracts. Soothes flaky dead skin cells by forming a moisture protective layer, while Sirtuin from rice protects against sun damage and relieves skin stress.\nPURE & POTENT GOAMI RICE: Sourced from Yeoju, Korea, Goami rice is rich in hemicellulose and cultivated in a clean environment with abundant water and fertile soil.""}",No special feature,4.6,"{""ASIN"": ""B0D5R37CFD"", ""Manufacturer"": ""I'm from""}",No result,"Apply a small amount of serum to cleansed face and neck, gently massaging until fully absorbed. Follow with rice toner. Use as needed, day and/or night.",0
B0D5R6RYFK,"I'm from Mugwort Essence 5.4 fl oz + Mugwort mask 1.01 fl oz, Korean artemisia, help calm redness, irriration for oily skin",34,Skin Care Products,I'm from,,"4","{""description"": ""Mugwort Essence - 100% TOP-QUALITY MUGWORT FROM GANGHWA FROM S.KOREA - Extracted mugwort with the slow-release extraction method to maximize the nutrients in the concentrate. It contains 100% natural mugwort and its original effects as it is into the bottle.\nMugwort Essence - CALLED TEA TREE IN KOREA - Mugworts are called 'tea tree' in Korea for its soothing and cleansing effect. Korean native herb Mugwort holds a unique scent of Chineol containing vitamins, minerals, and tannins.\nMugwort Essence - RECOMMENDED FOR TROUBLED, RED, AGITATED SKIN - such as after long sun-exposure, shaving, outdoor activities, and stressful days.\nMugwort Mask - TROUBLE TREATMENT & SKIN IRRITATION RELIEF: Helps treat troubles and irritation on the skin, leaving your skin feeling soothed and refreshed.\nMugwort Mask - HIGHLY CONCENTRATED GEL FORMULA: The wash-off mask features a highly concentrated gel formula that preserves the active ingredients of plant extracts, delivering their benefits directly to the skin.""}",No special feature,5.0,"{""ASIN"": ""B0D5R6RYFK""}",No result,,0
B0D73N7GBK,"I'm from Mugwort Essence 5.4 fl oz + 1.01 fl oz, Travel-Friendly, Korean artemisia, help calm redness, irriration for oily skin, redness relief",30,Skin Care Products,I'm from,,"6","{""description"": ""100% TOP-QUALITY MUGWORT FROM GANGHWA FROM S.KOREA - Extracted mugwort with the slow-release extraction method to maximize the nutrients in the concentrate. It contains 100% natural mugwort and its original effects as it is into the bottle.\nCALLED TEA TREE IN KOREA - Mugworts are called 'tea tree' in Korea for its soothing and cleansing effect. Korean native herb Mugwort holds a unique scent of Chineol containing vitamins, minerals, and tannins.\nCALM AND SOOTHE IRRITATED SKIN - Consisting of a main ingredient, Mugwort, the soft, thin and fluid texture quickly cleanses and detox sensitive skin. As a Korean natural herb, the mugwort has been widely known for treatments and detoxing effects. This is effective for treating troubled, irritated skin. Apply the essence to areas with concerns to see instant effects. Also may be used as a facial mist, Mugwort bath, and feminine mist.\nSTRONG ANTIOXIDANT - Korean mugwort is known for its unique scent and antioxidants, full of vitamins and minerals to restore youth and energy as well as for its amazing calming and detoxifying effects, making it excellent for skincare.\nRECOMMENDED FOR TROUBLED, RED, AGITATED SKIN - such as after long sun-exposure, shaving, outdoor activities, and stressful days.""}",No special feature,4.3,"{""ASIN"": ""B0D73N7GBK""}",No result,,0
B0D78QF87V,"I'm From Mugwort Essence 5.4 Fl Oz + Rice Toner 1.01 Fl Oz Set, Glowing Calming Korean Skincare, Redness relief, PETA Approved",35,Skin Care Products,I'm from,,"3","{""description"": ""Layer 2 Best-Selling Toners! Rice Toner for Glowing Skin, Mugwort Essence for Calming Skin\nRICE TONER improves hydration & moisture barrier with illuminating effect. It also improves the oil and water balance of your skin.\nMUGWORT ESSENCE contains 100% of mugwort extract for soothing and cleansing effect. It helps to calm and soothe irritated skin.\nAnimal Creulty-Free, Vegan Friendly, Silicon-free, Steroid-free, Artificial coloring, fragrance-free/ All Skin Types / Made in Korea""}",No special feature,4.2,"{""ASIN"": ""B0D78QF87V""}",No result,,0
B0D795J3S4,"I'm from Rice Toner 5.07 fl oz & Face Wash 5.07 fl oz, Korean Rice Toner & Rice Face Wash for Dry, Combination Skin, balances Skin Barrier for sensitve Skin, Glowing, Glass Skin",27,Skin Care Products,I'm from,,"3","{""description"": ""KOREAN BEAUTY SECRET, RICE WATER : Rice water is known to help illuminate skin tone, improve skin elasticity, and deliver rich nutrients to the skin. Rice water has been traditionally used in daily skin care for smooth and glowing skin.\nRICE TONER - HYDRATION & LUMINOSITY BOOST: Improves hydration and moisture barrier with an illuminating effect, enhancing your skin's natural radiance. Balances oil and water levels for a harmonized and refreshed complexion.\nRICE TONER - NOURISHING RICE EXTRACT FORMULA: Contains 77.78% Goami rice extract and a blend of four vegetable-originated extracts. Soothes flaky dead skin cells by forming a moisture protective layer, while Sirtuin from rice protects against sun damage and relieves skin stress.\nRICE FACE WASH - DEEP CLEANSING & MOISTURIZING: Efficiently removes 99.19% of impurities from pores and cleanses pores and makeup while Korean rice extracts, hyaluronic acid, panthenol, and allantoin keep skin hydrated and glowing.\nRICE FACE WASH - DAILY SKIN EXFOLIATING CARE: Smooths rough skin texture with a blend of AHA, BHA, PHA, LHA, and rice bran extract to gently exfoliate and soften the skin.""}",No special feature,5.0,"{""ASIN"": ""B0D795J3S4"", ""Manufacturer"": ""I'm from""}",No result,"1. Apply the Rice Toner to cleansed face and neck using a cotton pad or your hands, gently patting it in. 2. Use the Rice Face Wash as needed, creating a lather and massaging it onto your face before rinsing with water.",0
B0D795RF92,"I'm from Rice Toner 1.01 Fl oz + Rice Whip Facial Cleanser 5.07 Fl oz Set, Korean Rice Toner & Rice Face Wash for dry, combination, sensitive skin, Glowing skin, Rice Facial Cleanser",31,Skin Care Products,I'm from,,No rating,"{""description"": ""KOREAN BEAUTY SECRET, RICE WATER : Rice water is known to help illuminate skin tone, improve skin elasticity, and deliver rich nutrients to the skin. Rice water has been traditionally used in daily skin care for smooth and glowing skin.\nRICE TONER - HYDRATION & LUMINOSITY BOOST: Improves hydration and moisture barrier with an illuminating effect, enhancing your skin's natural radiance. Balances oil and water levels for a harmonized and refreshed complexion.\nRICE TONER - NOURISHING RICE EXTRACT FORMULA: Contains 77.78% Goami rice extract and a blend of four vegetable-originated extracts. Soothes flaky dead skin cells by forming a moisture protective layer, while Sirtuin from rice protects against sun damage and relieves skin stress.\nRICE FACE WASH - DEEP CLEANSING & MOISTURIZING: Efficiently removes 99.19% of impurities from pores and cleanses pores and makeup while Korean rice extracts, hyaluronic acid, panthenol, and allantoin keep skin hydrated and glowing.\nRICE FACE WASH - DEEP CLEANSING & MOISTURIZING: Efficiently removes 99.19% of impurities from pores and cleanses pores and makeup while Korean rice extracts, hyaluronic acid, panthenol, and allantoin keep skin hydrated and glowing.""}",No special feature,,"{""ASIN"": ""B0D795RF92""}",No result,,0
B0D7977PLX,"I'm from Mugwort Essence 1.01 fl oz + Rice Whip Facial Cleanser 5.07 fl oz, 100% Vegan Mugwort for Redness Relief, Low pH Korean Rice Water Face Wash for Sensitive, Dry Skin,",26,Skin Care Products,I'm from,,No rating,"{""description"": ""RICE FACE WASH - DEEP CLEANSING & MOISTURIZING: Efficiently removes 99.19% of impurities from pores and cleanses pores and makeup while Korean rice extracts, hyaluronic acid, panthenol, and allantoin keep skin hydrated and glowing.\nRICE FACE WASH - DAILY SKIN EXFOLIATING CARE: Smooths rough skin texture with a blend of AHA, BHA, PHA, LHA, and rice bran extract to gently exfoliate and soften the skin.\nMUGWORT ESSENCE - 100% TOP-QUALITY MUGWORT FROM GANGHWA FROM S.KOREA - Extracted mugwort with the slow-release extraction method to maximize the nutrients in the concentrate. It contains 100% natural mugwort and its original effects as it is into the bottle.\nMUGWORT ESSENCE - CALLED TEA TREE IN KOREA - Mugworts are called 'tea tree' in Korea for its soothing and cleansing effect. Korean native herb Mugwort holds a unique scent of Chineol containing vitamins, minerals, and tannins.\nRECOMMENDED FOR DRY, COMBINATION, RED, AGITATED SKIN""}",No special feature,,"{""ASIN"": ""B0D7977PLX"", ""Date First Available"": ""June 17, 2024""}",No result,"Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.",0
